F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.0000	2.0202e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0010	2.0181e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0020	2.0161e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0030	2.0141e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0040	2.0121e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0050	2.0101e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0060	2.008e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0070	2.006e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0080	2.004e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0090	2.002e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0100	2e+005    	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0110	1.9979e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0120	1.9959e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0130	1.9939e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0140	1.9919e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0150	1.9899e+005	0.7593	0.7593	0.7593	0.7593	0.0665	
0.0160	1.9878e+005	0.7592	0.7592	0.7592	0.7592	0.0665	
0.0170	1.9858e+005	0.7592	0.7592	0.7592	0.7592	0.0666	
0.0180	1.9838e+005	0.7592	0.7592	0.7592	0.7592	0.0666	
0.0190	1.9818e+005	0.7592	0.7592	0.7592	0.7592	0.0666	
0.0200	1.9798e+005	0.7591	0.7591	0.7591	0.7591	0.0666	
0.0210	1.9777e+005	0.7591	0.7591	0.7591	0.7591	0.0666	
0.0220	1.9757e+005	0.7591	0.7591	0.7591	0.7591	0.0666	
0.0230	1.9737e+005	0.7590	0.7590	0.7590	0.7590	0.0666	
0.0240	1.9717e+005	0.7590	0.7590	0.7590	0.7590	0.0666	
0.0250	1.9697e+005	0.7590	0.7590	0.7590	0.7590	0.0666	
0.0260	1.9676e+005	0.7589	0.7589	0.7589	0.7589	0.0666	
0.0270	1.9656e+005	0.7589	0.7589	0.7589	0.7589	0.0666	
0.0280	1.9636e+005	0.7589	0.7589	0.7589	0.7589	0.0667	
0.0290	1.9616e+005	0.7588	0.7588	0.7588	0.7588	0.0667	
0.0300	1.9596e+005	0.7588	0.7588	0.7588	0.7588	0.0667	
0.0310	1.9575e+005	0.7587	0.7587	0.7587	0.7587	0.0667	
0.0320	1.9555e+005	0.7587	0.7587	0.7587	0.7587	0.0667	
0.0330	1.9535e+005	0.7586	0.7586	0.7586	0.7586	0.0667	
0.0340	1.9515e+005	0.7586	0.7586	0.7586	0.7586	0.0667	
0.0350	1.9495e+005	0.7586	0.7586	0.7586	0.7586	0.0667	
0.0360	1.9474e+005	0.7586	0.7586	0.7586	0.7586	0.0667	
0.0370	1.9454e+005	0.7586	0.7586	0.7586	0.7586	0.0667	
0.0380	1.9434e+005	0.7586	0.7586	0.7586	0.7586	0.0668	
0.0390	1.9414e+005	0.7586	0.7586	0.7586	0.7586	0.0668	
0.0400	1.9394e+005	0.7586	0.7586	0.7586	0.7586	0.0668	
0.0410	1.9373e+005	0.7586	0.7586	0.7586	0.7586	0.0668	
0.0420	1.9353e+005	0.7586	0.7586	0.7586	0.7586	0.0668	
0.0430	1.9333e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0440	1.9313e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0450	1.9293e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0460	1.9272e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0470	1.9252e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0480	1.9232e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0490	1.9212e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0500	1.9192e+005	0.7585	0.7585	0.7585	0.7585	0.0668	
0.0510	1.9171e+005	0.7584	0.7584	0.7584	0.7584	0.0668	
0.0520	1.9151e+005	0.7584	0.7584	0.7584	0.7584	0.0668	
0.0530	1.9131e+005	0.7584	0.7584	0.7584	0.7584	0.0668	
0.0540	1.9111e+005	0.7584	0.7584	0.7584	0.7584	0.0668	
0.0550	1.9091e+005	0.7584	0.7584	0.7584	0.7584	0.0668	
0.0560	1.907e+005	0.7583	0.7583	0.7583	0.7583	0.0668	
